FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073
PLST,TX,050,00,00,000,03,0000031,0500000US48059,48059,3,7,48,01779801,059,H1,01383815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180,1,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329363242,4898783,Callahan,Callahan County,A,,13708,6487,+32.2931499,-099.3722490,06,,,10696,10061,9593,97,63,48,7,253,635,602,37,250,16,1,292,1,0,0,1,0,0,4,0,0,0,27,0,6,0,4,0,1,8,3,2,0,0,0,0,2,0,0,1,0,0,0,6,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10696,867,9829,9444,9221,90,49,48,7,29,385,369,37,236,16,1,73,1,0,0,1,0,0,4,0,0,0,14,0,6,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000032,0500000US48061,48061,3,7,48,01779801,061,H1,01383816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15180,1,154,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309519001,996418659,Cameron,Cameron County,A,,421017,154905,+26.1029227,-097.4789584,06,,,301208,179249,117810,1383,2115,2287,96,55558,121959,120967,223,1002,226,39,118392,25,11,0,223,11,8,634,23,111,39,922,25,0,8,135,7,3,632,11,73,15,0,0,0,1,0,0,3,9,0,0,59,3,0,55,0,0,0,0,0,1,0,0,0,0,0,0,11,1,10,0,0,0,0,0,0,301208,264000,37208,35762,31674,1083,278,2166,59,502,1446,1399,146,524,161,20,472,16,11,0,12,5,0,2,23,4,3,38,15,0,4,3,0,3,0,10,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000033,0500000US48063,48063,3,7,48,01779801,063,H1,01383817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34420,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507242364,19129375,Camp,Camp County,A,,12464,5774,+32.9745813,-094.9790850,06,,,9345,8573,5917,1427,54,87,8,1080,772,727,38,157,12,2,492,10,0,0,10,0,0,4,2,0,0,38,3,0,0,2,0,0,15,6,5,0,0,0,2,0,3,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,9345,1998,7347,7061,5501,1420,27,84,8,21,286,272,38,155,12,2,50,10,0,0,5,0,0,0,0,0,0,12,3,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000034,0500000US48065,48065,3,7,48,01779801,065,H1,01383818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100,1,108,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383397227,10026604,Carson,Carson County,A,,5807,2776,+35.4054961,-101.3553558,06,,,4401,4042,3861,17,42,22,0,100,359,340,25,151,0,1,145,0,0,0,10,0,0,7,0,0,1,10,0,1,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401,382,4019,3810,3734,16,34,19,0,7,209,190,25,139,0,0,22,0,0,0,3,0,0,0,0,0,1,10,0,1,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000035,0500000US48067,48067,3,7,48,01779801,067,H1,01383819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426683493,60494148,Cass,Cass County,A,,28454,13870,+33.0836979,-094.3575786,06,,,22227,21265,17205,3452,142,90,10,366,962,917,61,460,29,3,304,36,3,1,7,0,0,3,6,4,0,42,20,2,0,7,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,22227,844,21383,20633,16930,3436,128,90,10,39,750,708,56,455,29,3,123,29,3,1,3,0,0,0,6,0,0,39,20,2,0,7,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000036,0500000US48069,48069,3,7,48,01779801,069,H1,01383820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316600393,12557414,Castro,Castro County,A,,7371,3016,+34.5336207,-102.2587856,06,,,5277,3934,2762,81,43,20,4,1024,1343,1310,7,27,0,2,1265,0,0,0,0,6,0,0,0,3,0,22,6,0,0,1,3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0,0,0,5277,3215,2062,2001,1867,79,24,20,4,7,61,44,6,27,0,2,0,0,0,0,0,6,0,0,0,3,0,14,6,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000037,0500000US48071,48071,3,7,48,01779801,071,H1,01383821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420,1,288,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546425540,709836144,Chambers,Chambers County,A,,46571,16933,+29.6963741,-094.6694454,06,,,33464,30048,24097,2439,253,467,1,2791,3416,3328,115,543,88,8,2444,17,6,13,50,1,0,29,4,10,0,79,18,1,0,21,3,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,0,0,0,1,0,0,33464,6781,26683,25620,22476,2401,130,458,0,155,1063,1029,106,510,85,6,245,17,6,13,31,1,0,0,3,6,0,27,17,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000038,0500000US48073,48073,3,7,48,01779801,073,H1,01383822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27380,2,540,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727141726,23873001,Cherokee,Cherokee County,A,,50412,20838,+31.8438807,-095.1563425,06,,,37887,34832,25259,4947,346,208,7,4065,3055,2994,135,636,40,7,2048,26,8,0,16,0,0,61,0,8,9,53,11,3,0,2,6,0,19,0,2,0,5,0,0,2,0,2,1,0,0,0,5,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,37887,7472,30415,29372,24051,4917,117,208,7,72,1043,1009,134,598,37,7,189,26,8,0,10,0,0,0,0,0,0,30,6,3,0,2,6,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000039,0500000US48075,48075,3,7,48,01779801,075,H1,01383823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803954626,44560655,Childress,Childress County,A,,6664,2824,+34.5246235,-100.2081658,06,,,5318,4919,3480,532,27,40,0,840,399,375,20,84,7,6,241,0,3,5,6,0,0,1,0,2,0,7,0,0,0,0,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,14,0,3,4,0,2,0,4,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5318,1461,3857,3707,3116,523,20,40,0,8,150,140,20,77,7,6,22,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000040,0500000US48077,48077,3,7,48,01779801,077,H1,01383824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48660,1,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819871858,72506860,Clay,Clay County,A,,10218,5129,+33.7859042,-098.2129174,06,,,8144,7665,7373,30,69,46,0,147,479,445,19,223,15,0,186,0,0,0,0,0,0,0,0,2,0,27,13,0,0,0,0,1,5,1,0,2,0,0,4,1,0,0,0,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8144,394,7750,7410,7247,28,67,46,0,22,340,313,19,221,15,0,58,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,2,1,0,2,0,0,4,1,0,0,0,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
