county,population,website,portal,type,version,notes
Medina,54612,http://www.medinacountytexas.org/,https://odysseypa.tylerhost.net/Medina/,odyssey,2003,
Cherokee,53558,http://www.co.cherokee.tx.us/,,,,
Kerr,53024,http://www.co.kerr.tx.us/,http://courts.co.kerr.tx.us/PublicAccess/,odyssey,2014,403 Forbidden
Navarro,52973,http://www.co.navarro.tx.us/,https://portal-txnavarro.tylertech.cloud/PublicAccess/,odyssey,2011,
Wilson,52839,http://www.co.wilson.tx.us/,,,,
Atascosa,51233,http://www.atascosacounty.texas.gov/,,,,
Val Verde,50988,http://valverdecounty.texas.gov/,,,,
Polk,50717,http://www.co.polk.tx.us/,,,,
Lamar,50436,http://www.co.lamar.tx.us/,https://txlamarodyprod.tylerhost.net/PublicAccess/,odyssey,2011,
Burnet,49225,http://www.burnetcountytexas.org/,https://txburnetodyprod.tylerhost.net/PublicAccess/,odyssey,2003,visitor/visitor# do not edit, used as data in scraper
Kendall,47700,http://www.co.kendall.tx.us/,,,,
Wood,45528,http://www.mywoodcounty.com/,,,,
Chambers,44944,http://www.co.chambers.tx.us/,https://portal-txchambers.tylertech.cloud/Portal/,odyssey,2017.1.46.2,Search Hearings option disabled must pay to get case data
Caldwell,43501,http://www.co.caldwell.tx.us/,,,,
Erath,43110,http://co.erath.tx.us/,,,,
Wharton,41279,http://www.co.wharton.tx.us/,,,,
Upshur,41262,http://www.countyofupshur.com/,,,,
Cooke,40685,http://www.co.cooke.tx.us/,,,,
Jim Wells,39759,http://www.co.jim-wells.tx.us/,,,,
Brown,38874,http://www.browncountytx.org/,,,,
Hopkins,37475,http://www.hopkinscountytx.org/,,,,
Hill,37470,http://www.co.hill.tx.us/,,,,
Fannin,36727,http://www.co.fannin.tx.us/,https://portal-txfannin.tylertech.cloud/Portal/,odyssey,2017.1.46.2,
Howard,36421,http://www.co.howard.tx.us/,https://txhowardodyprod.tylerhost.net/PublicAccess/,odyssey,2011,
Matagorda,36158,http://www.co.matagorda.tx.us/,https://odysseypa.tylerhost.net/Matagorda/,odyssey,,503 Service Unavailable
Washington,35612,http://www.co.washington.tx.us/,,,,
Jasper,35353,http://www.co.jasper.tx.us/,,,,
Titus,33596,http://www.co.titus.tx.us/,,,,
Bee,33571,http://www.co.bee.tx.us/,,,,
Hale,32864,http://www.halecounty.org/,https://portal-txhale.tylertech.cloud/PublicAccess/,odyssey,2011,
Austin,32344,http://www.austincounty.com/,http://public.austincounty.com/,odyssey,2003,
Kleberg,32158,http://www.co.kleberg.tx.us/,,,,
Cass,30243,http://www.co.cass.tx.us/,,,,
Grimes,29730,http://www.co.grimes.tx.us/,,,,
San Jacinto,29652,http://www.co.san-jacinto.tx.us/,https://txsanjacintoodyprod.tylerhost.net/PublicAccess/,odyssey,2011,
Palo Pinto,29069,http://www.co.palo-pinto.tx.us/,,,,
Gillespie,27617,http://www.gillespiecounty.org/,https://odysseypa.tylerhost.net/Gillespie/,odyssey,,503 Service Unavailable
Fayette,26522,http://www.co.fayette.tx.us/,,,,
Uvalde,26260,http://www.uvaldecounty.com/,,,,
Milam,25157,http://www.milamcounty.net/,,,,
Panola,24611,http://www.co.panola.tx.us/,https://portal-txpanola.tylertech.cloud/PublicAccess/,odyssey,2006,
Shelby,24054,http://www.co.shelby.tx.us/,,,,
Limestone,23654,http://www.co.limestone.tx.us/,,,,
Aransas,23649,http://www.aransascountytx.gov/main/,,,,
Houston,23439,http://www.co.houston.tx.us/,,,,
Bandera,23360,http://www.banderacounty.org/,,,,
Tyler,22966,http://www.co.tyler.tx.us/,,,,
Hockley,22603,http://www.co.hockley.tx.us/,,,,
Colorado,22566,http://www.co.colorado.tx.us/,,,,
Calhoun,22058,http://www.calhouncotx.org/,https://txcalhounportal.tylerhost.net/Portal/,odyssey,2017.1.46.2,
Gray,21900,http://www.co.gray.tx.us/,,,,
Llano,21890,http://www.co.llano.tx.us/,,,,
Willacy,21502,http://www.co.willacy.tx.us/,,,,
Lampasas,21395,http://www.co.lampasas.tx.us/,,,,
Gaines,21258,http://www.co.gaines.tx.us/,,,,
Moore,20902,http://www.co.moore.tx.us/,,,,
Gonzales,20819,http://www.co.gonzales.tx.us/,,,,
Freestone,20732,http://www.co.freestone.tx.us/,,,,
Lavaca,20511,http://www.co.lavaca.tx.us/,,,,
De Witt,20459,http://www.co.dewitt.tx.us/,,,,
Hutchinson,20439,http://www.co.hutchinson.tx.us/,,,,
Jones,19745,http://www.co.jones.tx.us/,,,,
Montague,19712,http://www.co.montague.tx.us/,,,,
Andrews,19588,http://www.co.andrews.tx.us/,,,,
Deaf Smith,19572,http://www.co.deaf-smith.tx.us/,,,,
Young,19294,http://www.co.young.tx.us/,,,,
Bosque,19146,http://www.bosquecounty.us/,,,,
Frio,18937,http://www.co.frio.tx.us/,,,,
Burleson,18361,http://www.co.burleson.tx.us/,,,,
Eastland,18278,http://www.eastlandcountytexas.com/,,,,
Leon,17649,http://www.co.leon.tx.us/,,,,
Robertson,17613,http://www.co.robertson.tx.us/,,,,
Falls,17432,http://co.falls.tx.us/,,,,
Lee,17432,http://www.co.lee.tx.us/,,,,
Scurry,16556,http://www.co.scurry.tx.us/,,,,
Reeves,16400,http://www.reevescountytexas.net/,,,,
Karnes,15778,http://www.co.karnes.tx.us/,,,,
Pecos,15033,http://www.co.pecos.tx.us/,,,,
Trinity,14457,http://www.co.trinity.tx.us/,,,,
Zapata,14280,http://www.co.zapata.tx.us/,,,,
Jackson,14256,http://www.co.jackson.tx.us/,,,,
Nolan,14150,http://www.co.nolan.tx.us/,,,,
Madison,14088,http://www.co.madison.tx.us/,,,,
Callahan,14027,http://www.co.callahan.tx.us/,,,,
Comanche,13848,http://www.co.comanche.tx.us/,,,,
Newton,13103,http://www.co.newton.tx.us/,,,,
Camp,12936,http://www.co.camp.tx.us/,,,,
Dawson,12652,http://www.co.dawson.tx.us/,,,,
Terry,12538,http://co.terry.tx.us/,,,,
Rains,12493,http://www.co.rains.tx.us/,,,,
Morris,12468,http://www.co.morris.tx.us/,http://txmorrisodyprod.tylerhost.net/PublicAccess/,odyssey,2011,Public/Public# do not edit, used as data in scraper
Lamb,12412,http://www.co.lamb.tx.us/,,,,
Wilbarger,12393,http://www.co.wilbarger.tx.us/,,,,
Blanco,12365,http://www.co.blanco.tx.us/,,,,
Live Oak,12208,http://www.co.live-oak.tx.us/,,,,
Zavala,12077,http://www.co.zavala.tx.us/,,,,
Ward,11635,http://www.co.ward.tx.us/,,,,
Red River,11479,http://www.co.red-river.tx.us/,,,,
Duval,10860,http://www.co.duval.tx.us/,,,,
Sabine,10859,http://www.co.sabine.tx.us/,,,,
Franklin,10792,http://co.franklin.tx.us/,,,,
Clay,10317,http://www.co.clay.tx.us/,,,,
Ochiltree,10246,http://www.co.ochiltree.tx.us/,,,,
Runnels,10218,http://www.co.runnels.tx.us/,,,,
Marion,9662,http://www.co.marion.tx.us/,,,,
Somervell,9605,http://www.somervell.co/,,,,
Stephens,9506,http://www.co.stephens.tx.us/,,,,
Dimmit,9426,http://www.dimmitcounty.org/,,,,
Parmer,9325,http://parmercounty.org/,,,,
Jack,9305,http://www.jackcounty.org/,,,,
Archer,9135,http://www.co.archer.tx.us/,,,,
Brewster,9055,http://www.brewstercountytx.com/,,,,
Yoakum,8773,http://www.co.yoakum.tx.us/,,,,
Mitchell,8685,http://www.co.mitchell.tx.us/,,,,
Hamilton,8637,http://www.co.hamilton.tx.us/,,,,
San Augustine,8409,http://www.co.san-augustine.tx.us/,,,,
McCulloch,8313,http://www.co.mcculloch.tx.us/,,,,
Winkler,8145,http://www.co.winkler.tx.us/,,,,
Goliad,8127,http://www.co.goliad.tx.us/,,,,
Coleman,8041,http://www.co.coleman.tx.us/,,,,
Swisher,7435,http://www.co.swisher.tx.us/,,,,
La Salle,7391,http://www.co.la-salle.tx.us/,,,,
Castro,7260,http://www.co.castro.tx.us/,,,,
Bailey,7082,http://www.co.bailey.tx.us/,,,,
Brooks,7060,http://www.co.brooks.tx.us/,,,,
Childress,7052,http://www.childresscountytexas.us/,,,,
Dallam,6929,http://www.dallam.org/county/,,,,
Refugio,6844,http://www.co.refugio.tx.us/,,,,
Presidio,6302,http://www.co.presidio.tx.us/,,,,
Lynn,6243,http://www.co.lynn.tx.us/,,,,
San Saba,6223,http://www.co.san-saba.tx.us/,,,,
